state,has_income_tax,flat_rate,top_rate,brackets_single_json,rates_single_json,brackets_mfj_json,rates_mfj_json,std_ded_single,std_ded_married,personal_exemption_single,personal_exemption_married,allows_federal_deduction,conforms_to_federal_agi,notes
CA,True,,0.133,"[0,10412,24684,38959,54081,68350,349137,418961,698271,1000000]","[0.01,0.02,0.04,0.06,0.08,0.093,0.103,0.113,0.123,0.133]","[0,20824,49368,77918,108162,136700,698274,837922,1000000]","[0.01,0.02,0.04,0.06,0.08,0.093,0.103,0.113,0.123]",5202,10404,144,288,False,True,Top rate includes 1% mental health surcharge on income above $1M
TX,False,0.0,0.0,"[]","[]","[]","[]",0,0,0,0,False,False,No state income tax
FL,False,0.0,0.0,"[]","[]","[]","[]",0,0,0,0,False,False,No state income tax
NY,True,,0.109,"[0,8500,11700,13900,21400,80650,215400,1077550]","[0.04,0.045,0.0525,0.0585,0.0625,0.0685,0.0965,0.109]","[0,17150,23600,27900,43000,161550,323200,2155350]","[0.04,0.045,0.0525,0.0585,0.0625,0.0685,0.0965,0.109]",8000,16050,0,0,False,True,NYC local tax not included
PA,True,0.0307,0.0307,"[]","[]","[]","[]",0,0,0,0,False,True,Flat rate state; no standard deduction
IL,True,0.0495,0.0495,"[]","[]","[]","[]",0,0,2425,4850,False,True,Flat rate; personal exemption per filer
OH,True,,0.035,"[0,26050,100000]","[0.0,0.02765,0.035]","[0,26050,100000]","[0.0,0.02765,0.035]",0,0,2400,4800,False,True,0% on first $26050; local municipal taxes not included
GA,True,0.0549,0.0549,"[]","[]","[]","[]",5400,7100,0,0,False,True,Flat rate as of 2024; scheduled to drop to 4.99% by 2029
NC,True,0.045,0.045,"[]","[]","[]","[]",10750,21500,0,0,False,True,Flat rate for 2025
MI,True,0.0405,0.0405,"[]","[]","[]","[]",0,0,5600,11200,False,True,Flat rate; personal exemption per filer
